Legal Entity,Trading Name / Service,Service Type,CQC Regulated?,CQC Location ID / Note,Phone,Postcode,Client Status,Conflict Of Interest Note
Bupa Care Homes (CFChomes) Limited,Broad Oak Manor Care Home,Nursing Home,Yes,1-130120218 https://www.cqc.org.uk/location/1-130120218,01322223591,DA4 9HF,Lead,
Bupa Care Homes (CFChomes) Limited,Eglantine Villa Care Home,Nursing Home,Yes,1-130120335 https://www.cqc.org.uk/location/1-130120335,01322862126,DA4 9JL,Lead,
Assured Living Care Limited,Visiting Angels North West Kent,Domiciliary Care,Yes,1-15119325865 https://www.cqc.org.uk/location/1-15119325865,07957165444,DA4 9LW,Lead,
Eden Ivy Care Limited,Eden Ivy Care Ltd,Domiciliary Care,Yes,1-8573486494 https://www.cqc.org.uk/location/1-8573486494,01322949494,DA5 1AH,Lead,
MF Care and Housing Recruitment Limited,MF Care and Housing,Domiciliary Care,Yes,1-13056911845 https://www.cqc.org.uk/location/1-13056911845,07828189646,DA5 3EP,Lead,
SR Care Point Ltd,SR-Care Point Administration Office,Domiciliary Care,Yes,1-18442540689 https://www.cqc.org.uk/location/1-18442540689,02081677027,DA5 1LW,Lead,
Bexley Independent Living Services Limited,Mountview,Residential Care,Yes,1-193883049 https://www.cqc.org.uk/location/1-193883049,02046190696,DA6 8LX,Lead,
Advance Housing and Support Ltd,"Advance Bexley, Kent and East London Domicilary Care and Supported Living Services",Domiciliary Care,Yes,1-14615371544 https://www.cqc.org.uk/location/1-14615371544,,DA6 8NW,Lead,
Bexley Homecare Services Ltd,Bexley Home Care,Domiciliary Care,Yes,1-392090954 https://www.cqc.org.uk/location/1-392090954,02083033330,DA6 8LX,Lead,
Impact Project Solutions Ltd,Impact Project Solutions Ltd,Domiciliary Care,Yes,1-11355584755 https://www.cqc.org.uk/location/1-11355584755,,DA6 7EZ,Lead,
J.C.Michael Groups Ltd,J.C Michael Groups Ltd Bexley,Domiciliary Care,Yes,1-1325018551 https://www.cqc.org.uk/location/1-1325018551,,DA6 7ER,Lead,
Avery Homes (Nelson) Limited,Adelaide Care Home,Nursing Home,Yes,1-1770310385 https://www.cqc.org.uk/location/1-1770310385,02083043303,DA7 4BE,Lead,
Ventas Opco UK Limited,Maples Care Home,Nursing Home,Yes,1-21533595136 https://www.cqc.org.uk/location/1-21533595136,02082986720,DA7 4EU,Lead,
Maples Care Home (Bexleyheath) Limited,Maples Care Home,Nursing Home,Yes,1-859090666 https://www.cqc.org.uk/location/1-859090666,02082986720,DA7 4EU,Lead,
Queensgate Healthcare Limited,Groveland Park Care Home,Residential Care,Yes,1-636523352 https://www.cqc.org.uk/location/1-636523352,01322523090,DA7 6EF,Lead,
Avante Care and Support Limited,Parkview,Residential Care,Yes,1-128278780 https://www.cqc.org.uk/location/1-128278780,02083037889,DA7 4LP,Lead,
Adele Care Services Limited,Adele Care Services Limited,Domiciliary Care,Yes,1-9895642335 https://www.cqc.org.uk/location/1-9895642335,07884956206,DA7 5PB,Lead,
Avante Care and Support Limited,Avante Home Care and Support Service,Domiciliary Care,Yes,1-21731135182 https://www.cqc.org.uk/location/1-21731135182,01795597454,DA7 4LP,Lead,
Capital Healthcare Management Services Limited,Capital Healthcare Management,Domiciliary Care,Yes,1-3587214780 https://www.cqc.org.uk/location/1-3587214780,02080627660,DA7 4BT,Lead,
Global House Facilities (UK) Ltd,Global House Facilities (UK) Ltd,Domiciliary Care,Yes,1-9895642283 https://www.cqc.org.uk/location/1-9895642283,01322331617,DA7 6ST,Lead,
Holistic Care U K Ltd,Holistic Care UK,Domiciliary Care,Yes,1-297017250 https://www.cqc.org.uk/location/1-297017250,03337722014,DA7 4HD,Lead,
RJM Care Services Ltd,Joycecare,Domiciliary Care,Yes,1-5409646441 https://www.cqc.org.uk/location/1-5409646441,07949021574,DA7 4AL,Lead,
Care Essence Support Ltd,Linarome Ltd - Regina's Place,Domiciliary Care,Yes,1-15912410686 https://www.cqc.org.uk/location/1-15912410686,,DA7 4DU,Lead,
Prestigious Care Services Limited,Prestigious Care Services - Main Office,Domiciliary Care,Yes,1-19328907509 https://www.cqc.org.uk/location/1-19328907509,02030265807,DA7 4HT,Lead,
Sinai Healthcare Ltd,Sinai Healthcare Ltd,Domiciliary Care,Yes,1-25326714275 https://www.cqc.org.uk/location/1-25326714275,07472504399,DA7 6AX,Lead,
Springlite Resources Ltd,Springlite Resources Ltd,Domiciliary Care,Yes,1-27203295405 https://www.cqc.org.uk/location/1-27203295405,07481734972,DA7 6HJ,Lead,
North Heath Care Home Ltd,Heathfield Court Care Home,Nursing Home,Yes,1-2929807045 https://www.cqc.org.uk/location/1-2929807045,02088796550,DA8 3PB,Lead,
Nellsar Limited,Meyer House Nursing and Residential Care Home,Nursing Home,Yes,1-122186165 https://www.cqc.org.uk/location/1-122186165,01322338329,DA8 3SJ,Lead,
Agincare Enable Limited,101 Brook Street,Residential Care,Yes,1-25565900834 https://www.cqc.org.uk/location/1-25565900834,01305825500,DA8 1JJ,Lead,
Liaise (London) Limited,Oakdene House,Residential Care,Yes,1-1934322991 https://www.cqc.org.uk/location/1-1934322991,01322600513,DA8 1EJ,Lead,
Peace Manor Residential Care Limited,Peace Manor Residential Care Ltd - Pembroke Road Unit - Erith,Residential Care,Yes,1-698445153 https://www.cqc.org.uk/location/1-698445153,,DA8 1BN,Lead,
Sanctuary Care Limited,Shaftesbury Court Residential Care Home,Residential Care,Yes,1-135968445 https://www.cqc.org.uk/location/1-135968445,01322331985,DA8 3QP,Lead,
Fatrok Care Services Ltd,30 Aperfield Road,Domiciliary Care,Yes,1-6373250946 https://www.cqc.org.uk/location/1-6373250946,01322342721,DA8 2BD,Lead,
Amazin Care Limited,Amazin Care Operations Office,Domiciliary Care,Yes,1-3020622760 https://www.cqc.org.uk/location/1-3020622760,07482265216,DA8 2LQ,Lead,
Buneto Healthcare Ltd,Buneto Healthcare Ltd,Domiciliary Care,Yes,1-24221129472 https://www.cqc.org.uk/location/1-24221129472,07951998207,DA8 3FP,Lead,
Carers 4 U Ltd,Carers 4 U Ltd,Domiciliary Care,Yes,1-1644344236 https://www.cqc.org.uk/location/1-1644344236,01322439777,DA8 1QX,Lead,
Bexley Crossroads Care Limited,Crossroads Care South East London,Domiciliary Care,Yes,1-137211919 https://www.cqc.org.uk/location/1-137211919,01322336086,DA8 1TA,Lead,
DOLS Care Service Ltd,DOLS Care Service,Domiciliary Care,Yes,1-18828606264 https://www.cqc.org.uk/location/1-18828606264,07453319909,DA8 2HN,Lead,
Dartford Home Care Ltd,Home Instead,Domiciliary Care,Yes,1-7654027864 https://www.cqc.org.uk/location/1-7654027864,01322923750,DA8 1AT,Lead,
Kaytrix Care Services and Training Ltd,Kaytrix Care Services and Training Ltd,Domiciliary Care,Yes,1-17593923569 https://www.cqc.org.uk/location/1-17593923569,02034880080,DA8 1RB,Lead,
M&M Classic Care Ltd,M&M Classic Care,Domiciliary Care,Yes,1-25142626310 https://www.cqc.org.uk/location/1-25142626310,07984579056,DA8 2NA,Lead,
Nayom Care Agency Limited,Nayom Care Agency Limited,Domiciliary Care,Yes,1-13420856541 https://www.cqc.org.uk/location/1-13420856541,07961322921,DA8 1AB,Lead,
Providence Centered Care Ltd,Providence Centered Care Ltd,Domiciliary Care,Yes,1-22152147187 https://www.cqc.org.uk/location/1-22152147187,07498479141,DA8 1QL,Lead,
St Paul Care Support Limited,ST PAUL CARE SUPPORT LTD,Domiciliary Care,Yes,1-12156417719 https://www.cqc.org.uk/location/1-12156417719,02039166192,DA8 2HJ,Lead,
TrinityX Care Services Ltd,TrinityX Care Services Ltd (Howbury Lane),Domiciliary Care,Yes,1-6448978208 https://www.cqc.org.uk/location/1-6448978208,07947592923,DA8 2DR,Lead,
Springland Care Ltd,Springland Care,Supported Living,Yes,1-9049155600 https://www.cqc.org.uk/location/1-9049155600,,DA8 3PS,Lead,
Belmont Healthcare (Haslington) Ltd,Haslington Lodge Care Home,Residential Care,Yes,1-6197329350 https://www.cqc.org.uk/location/1-6197329350,01322383229,DA9 9JB,Lead,
Charing Court Investments Limited,Rosewood Residential Care Home,Residential Care,Yes,1-145210881 https://www.cqc.org.uk/location/1-145210881,01322385880,DA9 9JB,Lead,
FitzRoy Support,Turnbull Close,Residential Care,Yes,1-6302998950 https://www.cqc.org.uk/location/1-6302998950,01322381568,DA9 9EB,Lead,
Conscience Care Limited,Conscience Care Limited,Domiciliary Care,Yes,1-9560836695 https://www.cqc.org.uk/location/1-9560836695,01322314741,DA9 9TU,Lead,
MEDPLUS Care Solutions Limited,MEDPLUS Care,Domiciliary Care,Yes,1-22729605285 https://www.cqc.org.uk/location/1-22729605285,07846578397,DA9 9DD,Lead,
Tonbridge Care Ltd,Chestnut Lodge Care Home,Residential Care,Yes,1-1930686993 https://www.cqc.org.uk/location/1-1930686993,01732362440,TN10 3DA,Lead,
GCB Consulting Limited,Butler Healthcare Support,Domiciliary Care,Yes,1-23541024700 https://www.cqc.org.uk/location/1-23541024700,,TN10 4NZ,Lead,
Consultus Care and Nursing Ltd,Consultus Care And Nursing Ltd,Domiciliary Care,Yes,1-120788654 https://www.cqc.org.uk/location/1-120788654,01732355231,TN10 3AB,Lead,
Acclaimed Care,Head Office,Domiciliary Care,Yes,1-6782068172 https://www.cqc.org.uk/location/1-6782068172,07725179645,TN10 3LR,Lead,
Scotts Project Trust,The Oaks and Willows,Supported Living,Yes,1-451908758 https://www.cqc.org.uk/location/1-451908758,01732359113,TN10 3RR,Lead,
Avante Care and Support Limited,Barnes Lodge,Nursing Home,Yes,1-18068836770 https://www.cqc.org.uk/location/1-18068836770,01634729130,TN11 0QJ,Lead,
Oakland Opco B Limited,Hyllden Heights Care Home,Nursing Home,Yes,1-15323218420 https://www.cqc.org.uk/location/1-15323218420,01732443030,TN11 9HJ,Lead,
Scotts Project Trust,St Peters Row Delarue Close,Residential Care,Yes,1-108764096 https://www.cqc.org.uk/location/1-108764096,01732771593,TN11 9NN,Lead,
Care Advisory & Respite Experts Ltd,Care Advisory & Respite Experts Ltd,Domiciliary Care,Yes,1-14787112902 https://www.cqc.org.uk/location/1-14787112902,01732914098,TN11 8RQ,Lead,
Enabling Care For You Limited,Enabling Care for You Limited Head Office,Domiciliary Care,Yes,1-3020182099 https://www.cqc.org.uk/location/1-3020182099,01732240794,TN11 0LT,Lead,
Avenues South East,Avenues West Kent,Supported Living,Yes,1-25832686590 https://www.cqc.org.uk/location/1-25832686590,01732833879,TN11 9LT,Lead,
Brookhaven Care Limited,Brookhaven Care,Supported Living,Yes,1-22054466305 https://www.cqc.org.uk/location/1-22054466305,,TN11 9BP,Lead,
Nellsar Limited,Abbotsleigh Dementia Nursing and Residential Care Home,Nursing Home,Yes,1-122186150 https://www.cqc.org.uk/location/1-122186150,01580891314,TN12 0RB,Lead,
Hoama (Staplehurst) Ltd,Iden Manor Nursing Home,Nursing Home,Yes,1-12680192415 https://www.cqc.org.uk/location/1-12680192415,01580891261,TN12 0ER,Lead,
Bupa Care Homes (BNH) Limited,Staplehurst Manor Care Home,Nursing Home,Yes,1-126434515 https://www.cqc.org.uk/location/1-126434515,01580891251,TN12 0DG,Lead,
Kent County Council,1 & 2 Hedgerows,Residential Care,Yes,1-143332621 https://www.cqc.org.uk/location/1-143332621,03000422633,TN12 0QQ,Lead,
Safequarter South Limited,Capel Grange Residential Home,Residential Care,Yes,1-2612045915 https://www.cqc.org.uk/location/1-2612045915,01892834225,TN12 6SQ,Lead,
Elysium Care Partnerships No 2 Limited,Gresham House,Residential Care,Yes,1-297050593 https://www.cqc.org.uk/location/1-297050593,01580895150,TN12 0PZ,Lead,
Hale Place Care Homes Limited,Hale Place Farmhouse,Residential Care,Yes,1-128976339 https://www.cqc.org.uk/location/1-128976339,01622871081,TN12 5EN,Lead,
Leonard Cheshire Disability,Sobell Lodge - Care Home Physical Disabilities,Residential Care,Yes,1-120087378 https://www.cqc.org.uk/location/1-120087378,01580893729,TN12 0BJ,Lead,
Hilton Nursing Partners Limited,Hilton Nursing Partners Limited,Domiciliary Care,Yes,1-3937347863 https://www.cqc.org.uk/location/1-3937347863,01233321110,TN12 9QJ,Lead,
LOD Care and Case Management Ltd,LOD Care and Case Management Ltd,Domiciliary Care,Yes,1-11492774691 https://www.cqc.org.uk/location/1-11492774691,07812524906,TN12 9AG,Lead,
Barchester Healthcare Homes Limited,Emily Jackson House,Nursing Home,Yes,1-125855902 https://www.cqc.org.uk/location/1-125855902,01732743824,TN13 1XH,Lead,
Care UK Care Services Limited,Kippingtons Nursing Home,Nursing Home,Yes,1-26102084986 https://www.cqc.org.uk/location/1-26102084986,01732451829,TN13 2PG,Lead,
Aria Healthcare Group LTD,Kippingtons Nursing Home,Nursing Home,Yes,1-911979811 https://www.cqc.org.uk/location/1-911979811,01732451829,TN13 2PG,Lead,
Rockdale Housing Association,Rockdale House,Nursing Home,Yes,1-119111676 https://www.cqc.org.uk/location/1-119111676,01732454763,TN13 1JT,Lead,
Care UK Community Partnerships Ltd,Weald Heights,Nursing Home,Yes,1-3284932055 https://www.cqc.org.uk/location/1-3284932055,03333218295,TN13 1PD,Lead,
Care UK Care Services Limited,Weald Heights,Nursing Home,Yes,1-19896835588 https://www.cqc.org.uk/location/1-19896835588,03333218295,TN13 1PD,Lead,
Regal Care Trading Ltd,Alpine Care Home,Residential Care,Yes,1-462802731 https://www.cqc.org.uk/location/1-462802731,01732455537,TN13 3LH,Lead,
Leonard Cheshire Disability,Chipstead Lake - Care Home Physical Disabilities,Residential Care,Yes,1-120084758 https://www.cqc.org.uk/location/1-120084758,01732459510,TN13 2SD,Lead,
Avenues South East,Highfield,Residential Care,Yes,1-1309169204 https://www.cqc.org.uk/location/1-1309169204,01732443245,TN13 1XH,Lead,
WT UK Opco 2 Limited,Rivermere Retirement and Care Home,Residential Care,Yes,1-126362857 https://www.cqc.org.uk/location/1-126362857,01732748400,TN13 2PZ,Lead,
Willowbrook Healthcare Limited,Rivermere Retirement and Care Home,Residential Care,Yes,1-3118835738 https://www.cqc.org.uk/location/1-3118835738,01732748400,TN13 2PZ,Lead,
BenJeMax Limited,Bluebird Care (Sevenoaks),Domiciliary Care,Yes,1-345046401 https://www.cqc.org.uk/location/1-345046401,01732471543,TN13 3PE,Lead,
KasaKasa Ltd,Caremore Companions,Domiciliary Care,Yes,1-18445130262 https://www.cqc.org.uk/location/1-18445130262,07721131299,TN13 3QG,Lead,
Dios-Protege Health Limited,Dios-Protege Health Limited,Domiciliary Care,Yes,1-19829027443 https://www.cqc.org.uk/location/1-19829027443,07848894074,TN13 1YH,Lead,
Pentacare Services Ltd,PentaCare (West Kent),Domiciliary Care,Yes,1-11984983358 https://www.cqc.org.uk/location/1-11984983358,01732905405,TN13 2AA,Lead,
Rockdale Housing Association,Rockdale Cares,Domiciliary Care,Yes,1-21696883133 https://www.cqc.org.uk/location/1-21696883133,01732458762,TN13 1JX,Lead,
Surrey & Kent Home Care Ltd,SureCare East Surrey & Sevenoaks,Domiciliary Care,Yes,1-19885503608 https://www.cqc.org.uk/location/1-19885503608,01732671183,TN13 2BT,Lead,
Hamberley Care 2 Limited,Nesbit House Care Home,Nursing Home,Yes,1-7312323608 https://www.cqc.org.uk/location/1-7312323608,01959581350,TN14 7AG,Lead,
Shoreham Home Care Services Limited,Home Instead,Domiciliary Care,Yes,1-3882103168 https://www.cqc.org.uk/location/1-3882103168,01959546228,TN14 7AA,Lead,
Vitality Home Health (Sevenoaks) Ltd,Vitality Home Health (Sevenoaks),Domiciliary Care,Yes,1-8817429525 https://www.cqc.org.uk/location/1-8817429525,01732755582,TN14 5PQ,Lead,
Harpwood House Limited,Harpwood House,Nursing Home,Yes,1-2222753791 https://www.cqc.org.uk/location/1-2222753791,01732494555,TN15 7RY,Lead,
Holywell Park Limited,Holywell Park,Nursing Home,Yes,1-120995115 https://www.cqc.org.uk/location/1-120995115,01732822215,TN15 7LE,Lead,
Manorville Care Homes Ltd,Manordene,Nursing Home,Yes,1-601582788 https://www.cqc.org.uk/location/1-601582788,01474855519,TN15 6JD,Lead,
Aurem Care (Westbank) Limited,Westbank Care Home,Nursing Home,Yes,1-141065466 https://www.cqc.org.uk/location/1-141065466,01732780066,TN15 8AP,Lead,
Greensleeves Homes Trust,Lavender Fields,Residential Care,Yes,1-5154676354 https://www.cqc.org.uk/location/1-5154676354,01732755630,TN15 0AE,Lead,
Callquest For Care Limited,Callquest For Care,Domiciliary Care,Yes,1-5343520067 https://www.cqc.org.uk/location/1-5343520067,08002118500,TN15 6BX,Lead,
Porthaven Care Homes No 2 Limited,Tonbridge House Care Home,Nursing Home,Yes,1-4881277267 https://www.cqc.org.uk/location/1-4881277267,08081642500,TN9 2RS,Lead,
Voyage 1 Limited,The Hadlows,Residential Care,Yes,1-1386007633 https://www.cqc.org.uk/location/1-1386007633,01732770981,TN9 1PA,Lead,
Alina Homecare Services Limited,Alina Homecare - Tonbridge & Tunbridge Wells,Domiciliary Care,Yes,1-22753093675 https://www.cqc.org.uk/location/1-22753093675,01732600222,TN9 1SP,Lead,
All About Home Care Limited,All About Home Care (Kent),Domiciliary Care,Yes,1-2038764854 https://www.cqc.org.uk/location/1-2038764854,01892575499,TN9 1EP,Lead,
Allerton C&S SE Limited,Allerton C&S SE,Domiciliary Care,Yes,1-456359874 https://www.cqc.org.uk/location/1-456359874,01732783503,TN9 1SP,Lead,
Luanelle Limited,Blossom Home Care Tunbridge Wells,Domiciliary Care,Yes,1-22164160797 https://www.cqc.org.uk/location/1-22164160797,01732783508,TN9 1EP,Lead,
Dawning Care Ltd,Dawning Care Ltd,Domiciliary Care,Yes,1-23489505122 https://www.cqc.org.uk/location/1-23489505122,07846483819,TN9 2JN,Lead,
Inspire Care Agencies Limited,Inspire Care Agencies Limited,Domiciliary Care,Yes,1-14138578592 https://www.cqc.org.uk/location/1-14138578592,,TN9 2HR,Lead,
Kindred Hearts Ltd,My Homecare West Kent,Domiciliary Care,Yes,1-5241373424 https://www.cqc.org.uk/location/1-5241373424,01732756020,TN9 2AA,Lead,
SAP Care Services Limited,SAP Care Services Limited,Domiciliary Care,Yes,1-3078396649 https://www.cqc.org.uk/location/1-3078396649,07958558397,TN9 2HR,Lead,
